code,open,high,low,close,volume,거래대금,등락률,시가총액,foreign_net,inst_net,date
031980,49300,49450,48250,49250,180742,8831789800,0.31,1061947953750,-541322825.0,-13728625.0,20251103
002230,4230,4230,4195,4210,13497,56794227,-0.12,81142782200,-3909655.0,-5872940.0,20251103
043370,11700,11780,11340,11340,41755,480186840,-2.83,238140000000,20361780.0,-66553170.0,20251103
239890,5500,5500,5220,5260,35896,189316130,-1.5,52262071300,-14868930.0,11820810.0,20251103
347740,2745,2745,2620,2620,138862,370202113,-4.55,78627709120,-99295492.0,-595230.0,20251103
137400,44200,44200,42900,43650,214625,9325151750,0.92,1036385703900,-905790300.0,263514050.0,20251103
257370,2490,2495,2420,2450,33342,81593250,-1.61,30636909450,6310180.0,,20251103
147760,2950,2995,2860,2895,154802,451622370,-1.86,31323512070,64907125.0,,20251103
128660,2660,2710,2660,2710,57786,154915305,0.18,67217129990,-23167120.0,,20251103
006140,5220,5250,5150,5200,33730,174938315,-0.38,78000000000,-14389190.0,,20251103
376180,2640,2690,2595,2620,78538,206030851,-0.76,48629919560,14065634.0,,20251103
304840,1515,1666,1462,1591,911842,1437081539,11.81,33774242801,32767419.0,,20251103
087600,5850,5880,5700,5840,14620,84083680,-0.85,47692698720,-16911410.0,,20251103
291810,2395,3120,2390,3120,1073857,3075733118,30.0,35470381440,-50223806.0,30967155.0,20251103
378340,14500,14730,14380,14680,86789,1265861575,2.66,315075107760,140834300.0,-50.0,20251103
161580,44400,52900,43650,51200,4405951,217977755700,21.33,1198220646400,24191782950.0,2814494075.0,20251103
347770,1782,1794,1725,1733,69886,122198196,-3.51,39611253786,20032015.0,14043.0,20251103
163730,11240,11510,11200,11240,48174,545292875,0.0,105729824320,37344405.0,989410.0,20251103
417180,2045,2070,1988,1995,138040,278116552,-2.44,35009502885,-62419043.0,,20251103
448370,0,0,0,2120,0,0,0.0,11914400000,,,20251103
454640,2105,2110,2095,2095,4902,10277305,-0.71,11315095000,0.0,5583175.0,20251103
469880,2060,2065,2055,2055,58081,119640745,-0.48,15011775000,-56835.0,-58028530.0,20251103
469900,2065,2075,2060,2075,11468,23698375,0.24,11630375000,-64565.0,-1119960.0,20251103
475240,2120,2120,2100,2120,7181,15181090,-0.24,6784000000,-4230.0,5435055.0,20251103
475250,2100,2100,2085,2095,5615,11781860,0.24,7751500000,-31455.0,0.0,20251103
484130,2050,2070,2045,2065,5239,10757640,0.49,9333800000,16420.0,-8170115.0,20251103
0041L0,2000,2000,1995,1998,37321,74560371,-0.1,12047940000,-1374612.0,33173442.0,20251103
299030,30400,31150,30200,31000,69690,2140976200,2.65,247842210000,-358757775.0,32207050.0,20251103
067310,29050,29950,28200,29450,1807268,52726877775,0.17,1951708898050,-5625856825.0,3859776500.0,20251103
166090,40600,40850,39650,40350,165964,6677647900,-1.94,798029145900,2001174400.0,-553612075.0,20251103
136480,2880,2905,2870,2870,487160,1404501224,-0.35,304821844740,-98991721.0,21818695.0,20251103
003380,7410,7510,7400,7420,163596,1217273560,0.41,831081707820,-144077870.0,96909355.0,20251103
450330,6550,6760,6550,6620,22725,150476265,1.07,54196900660,26964335.0,-1359540.0,20251103
101670,2390,2420,2310,2335,1093424,2559523105,-2.1,126486879950,154157583.0,,20251103
365590,416,460,392,414,1170982,477028065,-0.48,64080209196,-84503492.0,52668509.0,20251103
149980,0,0,0,5090,0,0,0.0,94645307670,,,20251103
013030,37200,38100,36300,36750,136342,5053260400,-1.21,432479292000,954378150.0,-1084938050.0,20251103
126700,16310,16310,15870,16010,69024,1106729120,-1.11,239223213120,135587620.0,-236618050.0,20251103
450050,2110,2110,2095,2095,2880,6047370,-0.24,10504330000,-35445.0,0.0,20251103
160190,59700,64300,58000,62200,1324546,81190732950,7.24,1921233600000,-8566407000.0,1217950400.0,20251103
221840,2240,2315,2220,2260,35612,80724111,0.89,42263267860,-11819415.0,635335.0,20251103
106190,12720,12840,12580,12770,11637,148192840,1.59,135785619210,-6359280.0,989110.0,20251103
065650,2740,2745,2640,2720,22361,59610470,0.0,36271787520,-1864680.0,,20251103
066130,4455,4460,4307,4335,72450,315766937,-2.69,55488000000,-79774155.0,-497580.0,20251103
004590,4900,5030,4860,4870,88032,431379390,-0.31,73050000000,-15389735.0,-36987510.0,20251103
039340,5300,5310,5250,5280,15327,81007850,-0.38,118800000000,0.0,-3271160.0,20251103
034950,97600,98500,97300,97300,3925,383328600,-0.71,441792012200,27045600.0,-65103700.0,20251103
222980,3535,3535,3415,3430,41709,143753566,-2.83,37837986690,-37210141.0,20.0,20251103
256840,5100,5170,5060,5120,714740,3650877605,0.99,350181816320,146468260.0,3671230.0,20251103
219750,1079,1089,1039,1056,50785,53644197,-2.13,69090790560,1059778.0,,20251103
025550,3890,3995,3850,3860,293302,1148725683,-0.52,98484055440,-27635543.0,-17380.0,20251103
017890,9350,9430,9210,9250,44821,414780175,-1.07,196779930500,-58648790.0,-10966220.0,20251103
080720,0,0,0,2725,0,0,0.0,21562456300,,,20251103
041460,3730,3750,3635,3635,90312,331265811,-2.55,69065000000,-92348530.0,33190.0,20251103
101680,2330,2330,2185,2235,67772,153053827,-4.08,18782940000,18990565.0,,20251103
039740,2840,3020,2840,2995,57916,168583083,5.46,24015099015,19615960.0,-849360.0,20251103
053300,6160,6360,6160,6240,240542,1508999980,0.48,264834092640,304383625.0,23729195.0,20251103
025770,8050,8160,7890,7920,36513,292759110,-2.58,296558626320,31632460.0,610.0,20251103
458610,2130,2135,2105,2125,3932,8340430,-0.23,8988750000,-192150.0,,20251103
464440,2150,2150,2120,2145,3880,8318715,-0.23,9266400000,-111300.0,0.0,20251103
479880,2060,2060,2045,2050,16983,34825935,-0.49,14083500000,70415.0,4147260.0,20251103
062970,3660,3740,3620,3720,890999,3287674268,1.09,85779762720,668885457.0,,20251103
023760,789,791,772,773,447516,349556495,-2.03,243966202248,-12107280.0,-9285078.0,20251103
054040,4760,4760,4610,4620,53758,251537120,-2.53,74249359800,-3376460.0,2891575.0,20251103
021650,2280,2295,2245,2250,13642,30792805,-1.32,36788766750,19985.0,,20251103
032300,13230,13440,13130,13140,15104,199523620,-0.68,143314051140,-76957860.0,-20.0,20251103
037230,1978,1995,1901,1904,102754,199179855,-4.8,56739822608,-45410392.0,-11290595.0,20251103
448900,37300,43800,33650,38250,5070432,194475347625,10.23,229670480250,-1129602425.0,1970556550.0,20251103
030520,25550,25950,25400,25600,251108,6448132425,3.02,619001446400,-866386700.0,316124000.0,20251103
052600,4060,4060,3910,3980,46270,183606245,-1.0,46023526000,10562670.0,3995.0,20251103
256150,5560,5590,5450,5500,18327,100598870,-1.08,46172500000,-709860.0,,20251103
092460,17370,18440,17240,17800,734313,13155115175,-0.39,304552304000,1156623450.0,22271860.0,20251103
125490,11850,12800,11650,12170,5920503,73152186530,2.96,444233623840,3013869375.0,99585250.0,20251103
452190,5510,5780,5430,5600,1710004,9653470435,1.45,130852719200,-100081640.0,,20251103
047080,1198,1232,1192,1210,86303,104529929,0.58,30035058020,-3453064.0,,20251103
452280,10830,10980,10500,10510,292548,3141390040,-2.87,181551316500,-384376215.0,10900.0,20251103
066980,1220,1225,1163,1175,504111,594821439,-3.69,61023771875,-101595331.0,,20251103
114810,13200,13900,12860,13800,633272,8469058285,4.47,394585801200,185803585.0,1421220635.0,20251103
070590,2295,2295,2155,2290,43935,97827515,-0.43,31784103090,-11673315.0,-4660890.0,20251103
042520,26850,26850,23750,24150,1157934,28929009175,-10.06,326661763050,2496092500.0,2307955800.0,20251103
430690,5660,5770,5640,5730,142503,812909570,1.6,62430223710,119203230.0,,20251103
078350,22950,23250,21800,22300,315607,7027401600,-2.19,339949718600,750736600.0,15808875.0,20251103
045100,20150,20250,19210,19750,87414,1724513480,-1.99,355500000000,160503490.0,-77547780.0,20251103
320000,2125,2125,1991,2040,644115,1313860774,-3.09,65910339600,-3604542.0,,20251103
091440,2750,2845,2670,2690,102655,279111205,-2.18,78006858080,-52492765.0,,20251103
276730,1786,1896,1786,1870,123773,226516141,3.89,29316655720,28977994.0,,20251103
024740,2260,2280,2190,2215,505656,1119772494,-1.56,72866963535,-24181880.0,,20251103
005860,3210,3210,3130,3135,293784,927654080,-2.18,123530552475,-83602440.0,,20251103
007770,8550,8650,8500,8520,2110,18029550,-1.5,29905200000,-177120.0,,20251103
